Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffC_response,slider_diffC_rt,slider_diffA_response,slider_diffA_rt,slider_diffB_response,slider_diffB_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffB_started,question_diffB_stopped,question_diffC_started,question_diffC_stopped,question_diffA_started,question_diffA_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,24.71603000000323,None,1,[1.7927732999996806],[1.792787499998667],24.71603000000323,None,81.02144030000272,None,82.03108460000294,None,88.03086820000317,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",92.01389460000064,51.3935398200083,55.692416820009385,61.02571112001169,"[0.05185185185185185, -0.1527777777777778, 0.30092592592592593, 0.3037037037037037]","[0.3333333333333333, 0.33425925925925926, 0.15833333333333333, 0.17407407407407408]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[51.38131599999906, 55.67990629999986, 60.579728499997145, 61.01298759999918]",0.011705420009093359,61.02457062001122,['A2'],['B1'],['C2'],['blue'],['yellow'],['salmon'],153.49559500000032,None,10.0,3.8469274999988556,153.49559500000032,None,158.69560700000147,None,10.0,10.130653299998812,169.1005580000019,None,6.0,5.965395400002308,173.56187550000323,None,5.0,2.5807079000005615,<function functionImportanceAt at 0x000002C59C881D08>,<function functionImportanceBt at 0x000002C59C881EA0>,<function functionImportanceCt at 0x000002C59C881B70>,186.6284314000004,None,5.0,5.480559999999969,2.0,10.130653299998812,2.0,3.1311523000003945,<function functiondiffCt at 0x000002C59CCEC488>,<function functiondiffAt at 0x000002C59CCECF28>,<function functiondiffBt at 0x000002C59CCEC840>,,,,,,,,,,,,26,001,2022_Jul_20_1452,2leo,2021.2.3,59.9671739694624,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,188.844943600001,None,189.84486120000292,None,195.84489910000048,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",201.88235460000215,13.959192640024412,19.0091401400241,22.411788640023588,"[0.2953703703703704, -0.17314814814814813, 0.11388888888888889]","[0.2212962962962963, 0.35462962962962963, 0.45]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[13.945274400000926, 18.995058500000596, 22.39740200000233]",0.013394340025115525,22.410625140022603,['A2'],['B1'],['C2'],['blue'],['salmon'],['yellow'],224.74380910000036,None,9.0,3.378480799998215,224.74380910000036,None,241.82660340000075,None,10.0,5.464834299997165,229.8772119000023,None,10.0,7.430881000000227,237.09607250000045,None,9.0,4.231839599997329,<function functionImportanceBt at 0x000002C59C740EA0>,<function functionImportanceCt at 0x000002C59C064F28>,<function functionImportanceAt at 0x000002C58C6281E0>,256.09318540000095,None,4.0,6.614294499999232,2.0,5.464834299997165,0.0,3.414792999999918,<function functiondiffCt at 0x000002C59CCEC620>,<function functiondiffAt at 0x000002C59CCEC598>,<function functiondiffBt at 0x000002C59CCEC510>,,,,,,,,,,,,26,001,2022_Jul_20_1452,2leo,2021.2.3,59.9671739694624,
3,7,Plan your Sunday breakfast ,Stimuli/7A1.jpg,Stimuli/7A2.jpg,Stimuli/7A3.jpg,Stimuli/7B1.jpg,Stimuli/7B2.jpg,Stimuli/7B3.jpg,Stimuli/7C1.jpg,Stimuli/7C2.jpg,Stimuli/7C3.jpg,,,,,0,0,0,7,,,,,,,,321.4694018000009,None,322.4581186000032,None,328.4580606000018,None,"[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",,37.234400900018954,29.6350273000171,35.85150330001852,"[0.4398148148148148, 0.2490740740740741, 0.03611111111111111]","[-0.03611111111111111, 0.22685185185185186, 0.31296296296296294]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[29.623942800000805, 35.84016580000025, 37.22355420000167]",0.01023790001636371,37.23369070001718,['A3'],['B3'],['C3'],['blue'],['salmon'],['yellow'],372.28981900000144,None,10.0,2.1294984000014665,372.28981900000144,None,376.3732545000021,None,9.0,8.264208999997209,389.9894321000029,None,10.0,4.881511399998999,384.0732382000024,None,10.0,5.215112100002443,<function functionImportanceA at 0x000002C59C881F28>,<function functionImportanceC at 0x000002C59C837378>,<function functionImportanceB at 0x000002C59CCECC80>,,,8.0,8.264208999997209,1.0,5.414242300001206,0.0,4.713596999998117,<function functiondiffB at 0x000002C59C8819D8>,<function functiondiffC at 0x000002C59C881D90>,<function functiondiffA at 0x000002C59CCECA60>,258.6264562000033,None,258.6264562000033,None,334.6018834000024,393.53952260000005,None,397.95612020000044,None,403.23934630000076,None,26,001,2022_Jul_20_1452,2leo,2021.2.3,59.9671739694624,
3,25,Plan how you want to read a book in your free time ,Stimuli/25A1.jpg,Stimuli/25A2.jpg,Stimuli/25A3.jpg,Stimuli/25B1.jpg,Stimuli/25B2.jpg,Stimuli/25B3.jpg,Stimuli/25C1.jpg,Stimuli/25C2.jpg,Stimuli/25C3.jpg,,,,,0,1,1,25,,,,,,,,407.67256650000127,None,408.6723471000005,None,414.67231390000234,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",,26.084417419999227,34.3847114199998,36.50183561999802,"[-0.3388888888888889, 0.09907407407407408, -0.16296296296296298]","[-0.08981481481481482, -0.387037037037037, -0.2935185185185185]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[26.07226720000108, 34.372112500001094, 36.4889957000014]",0.01172541999767418,36.50040051999895,['A1'],['B3'],['C3'],['salmon'],['blue'],['yellow'],453.1710759000016,None,10.0,2.146426400002383,453.1710759000016,None,459.6712944000028,None,10.0,2.698214399999415,455.4880218000035,None,10.0,4.214502700000594,462.7066612000017,None,10.0,2.8981944999977713,<function functionImportanceB at 0x000002C59C837EA0>,<function functionImportanceA at 0x000002C59C8376A8>,<function functionImportanceC at 0x000002C59C837598>,,,-0.0,2.698214399999415,6.0,3.414425699997082,2.0,3.2310481000022264,<function functiondiffC at 0x000002C59CCECD90>,<function functiondiffA at 0x000002C59CCEC9D8>,<function functiondiffB at 0x000002C59CCECE18>,,,,,416.2111079000024,472.2539883000027,None,465.3045146000004,None,468.804337900001,None,26,001,2022_Jul_20_1452,2leo,2021.2.3,59.9671739694624,
3,5,Plan a birthday party for your younger self when you turn eight,Stimuli/5A1.jpg,Stimuli/5A2.jpg,Stimuli/5A3.jpg,Stimuli/5B1.jpg,Stimuli/5B2.jpg,Stimuli/5B3.jpg,Stimuli/5C1.jpg,Stimuli/5C2.jpg,Stimuli/5C3.jpg,,,,,0,2,2,5,,,,,,,,474.9873340000013,None,475.98729300000196,None,481.98731990000306,None,"[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,52.413751640018745,67.6807103400206,37.36484964002011,"[0.06851851851851852, 0.05462962962962963, -0.16296296296296298]","[0.3148148148148148, -0.3537037037037037, 0.31851851851851853]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[37.357007700000395, 52.406614499999705, 67.67314569999871]",0.006734040020091925,67.67950444002054,['A1'],['B2'],['C3'],['blue'],['salmon'],['yellow'],555.9185212000011,None,9.0,3.112927199999831,555.9185212000011,None,574.7012366000017,None,2.0,6.146522700000787,560.5686309000012,None,0.0,8.2310851000002,567.970481100001,None,3.0,4.765022999999928,<function functionImportanceB at 0x000002C59C837488>,<function functionImportanceC at 0x000002C59C837D90>,<function functionImportanceA at 0x000002C59C8378C8>,,,2.0,6.146522700000787,0.0,3.6313270999999077,10.0,5.398184800000308,<function functiondiffC at 0x000002C59CCECEA0>,<function functiondiffA at 0x000002C594301E18>,<function functiondiffB at 0x000002C59C837F28>,,,,,487.78162630000224,588.4678983000013,None,578.4012316000008,None,585.2681401000009,None,26,001,2022_Jul_20_1452,2leo,2021.2.3,59.9671739694624,
3,11,Plan a hike in nature on a free day,Stimuli/11A1.jpg,Stimuli/11A2.jpg,Stimuli/11A3.jpg,Stimuli/11B1.jpg,Stimuli/11B2.jpg,Stimuli/11B3.jpg,Stimuli/11C1.jpg,Stimuli/11C2.jpg,Stimuli/11C3.jpg,,,,,0,3,3,11,,,,,,,,593.0508720000034,None,594.0508334000006,None,600.0507762000016,None,"[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,31.42296866000106,23.740602460002265,25.37419186000261,"[-0.15555555555555556, 0.021296296296296296, 0.28425925925925927]","[0.2722222222222222, 0.32407407407407407, 0.22685185185185186]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[23.727082600002177, 25.360361099999864, 31.409644300001673]",0.01272546000109287,31.42239456000243,['A3'],['B2'],['C3'],['blue'],['salmon'],['yellow'],633.116373300003,None,10.0,2.314259700000548,633.116373300003,None,639.1998476000008,None,10.0,2.8152135999989696,635.5498469000013,None,10.0,3.614537099998415,641.9830281000031,None,5.0,2.9143084999996063,<function functionImportanceB at 0x000002C59CCEC6A8>,<function functionImportanceA at 0x000002C59CCECBF8>,<function functionImportanceC at 0x000002C59C837400>,,,-0.0,2.8152135999989696,10.0,2.6313292999984697,0.0,2.931433500001731,<function functiondiffA at 0x000002C59C8379D8>,<function functiondiffB at 0x000002C59C837E18>,<function functiondiffC at 0x000002C59CCECD08>,,,,,601.2237642,647.5163150000008,None,650.4663507000005,None,644.8664336000002,None,26,001,2022_Jul_20_1452,2leo,2021.2.3,59.9671739694624,
3,21,Plan your sandwich for lunch,Stimuli/21A1.jpg,Stimuli/21A2.jpg,Stimuli/21A3.jpg,Stimuli/21B1.jpg,Stimuli/21B2.jpg,Stimuli/21B3.jpg,Stimuli/21C1.jpg,Stimuli/21C2.jpg,Stimuli/21C3.jpg,,,,,0,4,4,21,,,,,,,,652.6327228000009,None,653.6326669000009,None,659.6328224000026,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,13.68050568000399,21.847238380003546,16.047537480004394,"[-0.18611111111111112, -0.34629629629629627, -0.3296296296296296]","[0.29074074074074074, 0.07037037037037037, -0.15185185185185185]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[13.67237380000006, 16.038902700001927, 21.83887080000204]",0.007629280004039174,21.846280280002247,['A1'],['B1'],['C1'],['blue'],['yellow'],['salmon'],683.0818287000002,None,8.0,2.763694500001293,683.0818287000002,None,685.9152881000009,None,4.0,4.764524899997923,690.6819351000013,None,10.0,1.898474300000089,692.615030500001,None,6.0,2.165469999999914,<function functionImportanceA at 0x000002C59CCEC0D0>,<function functionImportanceB at 0x000002C59EB86598>,<function functionImportanceC at 0x000002C59EB86730>,,,0.0,4.764524899997923,0.0,2.2476668000017526,10.0,2.3983980999983032,<function functiondiffB at 0x000002C59C837950>,<function functiondiffC at 0x000002C59CCECAE8>,<function functiondiffA at 0x000002C59C837048>,,,,,660.7577955000015,694.7650721000027,None,697.1650381,None,699.5481940000027,None,26,001,2022_Jul_20_1452,2leo,2021.2.3,59.9671739694624,
3,17,Plan a day in Barcelona with a friend who is new to the city,Stimuli/17A1.jpg,Stimuli/17A2.jpg,Stimuli/17A3.jpg,Stimuli/17B1.jpg,Stimuli/17B2.jpg,Stimuli/17B3.jpg,Stimuli/17C1.jpg,Stimuli/17C2.jpg,Stimuli/17C3.jpg,,,,,0,5,5,17,,,,,,,,701.314694800003,None,702.3147693000028,None,708.314830700001,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]",,29.904595840002003,12.438815839999734,17.022076340002968,"[-0.32037037037037036, -0.15092592592592594, -0.287962962962963, -0.30185185185185187]","[0.1, 0.337037037037037, -0.1574074074074074, -0.1527777777777778]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[12.434747900002549, 17.017773200001102, 29.350941100001364, 29.900809200000367]",0.0032569400027568918,29.90401294000185,['A2'],['B2'],['C2'],['salmon'],['yellow'],['blue'],739.8472943000015,None,10.0,2.7136406999998144,739.8472943000015,None,745.8970741000012,None,7.0,2.547868699999526,742.6305172000029,None,10.0,3.215084899999056,748.4304666000025,None,10.0,2.948233600000094,<function functionImportanceB at 0x000002C59EB86378>,<function functionImportanceA at 0x000002C59EB868C8>,<function functionImportanceC at 0x000002C59EB869D8>,,,0.0,2.547868699999526,10.0,1.7479234999991604,0.0,2.1982960999994248,<function functiondiffC at 0x000002C59EB86C80>,<function functiondiffB at 0x000002C59C837268>,<function functiondiffA at 0x000002C59C837C80>,,,,,709.4619620000012,753.8135720000028,None,751.3635438000019,None,756.0301105000035,None,26,001,2022_Jul_20_1452,2leo,2021.2.3,59.9671739694624,
3,28,Plan a one-week camping trip in Spain,Stimuli/28A1.jpg,Stimuli/28A2.jpg,Stimuli/28A3.jpg,Stimuli/28B1.jpg,Stimuli/28B2.jpg,Stimuli/28B3.jpg,Stimuli/28C1.jpg,Stimuli/28C2.jpg,Stimuli/28C3.jpg,,,,,0,6,6,28,,,,,,,,757.2965488000009,None,758.2966360999999,None,764.296598500001,None,"[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",,40.750333220003085,61.283332320002955,28.451153120004165,"[0.04537037037037037, 0.30925925925925923, -0.1638888888888889]","[-0.35, -0.22037037037037038, -0.3037037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[28.44899240000086, 40.74864260000322, 61.28140600000188]",0.001037120004184544,61.28239592000318,['A3'],['B3'],['C3'],['salmon'],['blue'],['yellow'],827.1781282000011,None,6.0,2.4473027999993064,827.1781282000011,None,829.6948144000016,None,10.0,3.364266399999906,837.1448176000013,None,7.0,2.698501300001226,833.0613840000005,None,0.0,4.048529400002735,<function functionImportanceA at 0x000002C59C837510>,<function functionImportanceC at 0x000002C59C837AE8>,<function functionImportanceB at 0x000002C59C837A60>,,,0.0,3.364266399999906,-0.0,1.8980746000015642,10.0,1.597856899999897,<function functiondiffC at 0x000002C59EB86D90>,<function functiondiffA at 0x000002C59EB86620>,<function functiondiffB at 0x000002C59EB862F0>,,,,,765.4106065000014,844.3609173000004,None,839.8279208000022,None,842.4447227000019,None,26,001,2022_Jul_20_1452,2leo,2021.2.3,59.9671739694624,
3,10,Plan a restaurant visit with your family on the weekend ,Stimuli/10A1.jpg,Stimuli/10A2.jpg,Stimuli/10A3.jpg,Stimuli/10B1.jpg,Stimuli/10B2.jpg,Stimuli/10B3.jpg,Stimuli/10C1.jpg,Stimuli/10C2.jpg,Stimuli/10C3.jpg,,,,,0,7,7,10,,,,,,,,845.4774026000014,None,846.4777472000023,None,852.4776143000017,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",,25.987326380010927,33.35354298001039,34.73721848001151,"[-0.3314814814814815, -0.2, -0.30648148148148147]","[0.10925925925925926, -0.3388888888888889, -0.2]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[25.98666400000002, 33.35278090000065, 34.73600670000087]",7.238001126097515e-05,34.73596138001085,['A3'],['B1'],['C3'],['blue'],['salmon'],['yellow'],891.6096437000015,None,10.0,1.6468772999978682,891.6096437000015,None,897.6764057,None,3.0,4.648101200000383,904.9593654000018,None,10.0,7.231841799999529,893.3095969000024,None,8.0,4.231058599998505,<function functionImportanceC at 0x000002C59EB866A8>,<function functionImportanceA at 0x000002C59C837840>,<function functionImportanceB at 0x000002C59C837D08>,,,-0.0,4.648101200000383,-0.0,2.0479338000004645,2.0,3.064636999999493,<function functiondiffC at 0x000002C59C837158>,<function functiondiffB at 0x000002C59C837730>,<function functiondiffA at 0x000002C59C837BF8>,,,,,856.405899100002,912.9760692000018,None,909.4595128000001,None,915.2925591000021,None,26,001,2022_Jul_20_1452,2leo,2021.2.3,59.9671739694624,
3,41,Plan how you want to have dinner tonight ,Stimuli/41A1.jpg,Stimuli/41A2.jpg,Stimuli/41A3.jpg,Stimuli/41B1.jpg,Stimuli/41B2.jpg,Stimuli/41B3.jpg,Stimuli/41C1.jpg,Stimuli/41C2.jpg,Stimuli/41C3.jpg,,,,,0,8,8,41,,,,,,,,916.8422219000022,None,917.8424883000007,None,923.8425004000019,None,"[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,3.8510462600024766,17.66776616000425,13.56817606000186,"[0.06018518518518518, 0.28703703703703703, -0.21944444444444444]","[-0.38981481481481484, -0.18518518518518517, -0.35462962962962963]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.8401498000021093, 13.556750300002022, 17.656599000001734]",0.010492760004126467,17.66676166000252,['A1'],['B1'],['C1'],['blue'],['yellow'],['salmon'],943.3251066000012,None,10.0,2.5801815999984683,943.3251066000012,None,958.6248040000028,None,10.0,2.0650333000012324,956.0415819000009,None,10.0,2.5985243000031915,946.1418640000011,None,4.0,9.980852599997888,<function functionImportanceC at 0x000002C59EB867B8>,<function functionImportanceB at 0x000002C59EB86E18>,<function functionImportanceA at 0x000002C59EB86F28>,,,10.0,2.0650333000012324,-0.0,1.9147149999989779,-0.0,2.0807824000003166,<function functiondiffB at 0x000002C59EB86048>,<function functiondiffA at 0x000002C59EB86510>,<function functiondiffC at 0x000002C59C837B70>,,,,,925.1853061000002,960.6414251000024,None,964.7080423000007,None,962.7414787000016,None,26,001,2022_Jul_20_1452,2leo,2021.2.3,59.9671739694624,
3,6,Plan your wedding,Stimuli/6A1.jpg,Stimuli/6A2.jpg,Stimuli/6A3.jpg,Stimuli/6B1.jpg,Stimuli/6B2.jpg,Stimuli/6B3.jpg,Stimuli/6C1.jpg,Stimuli/6C2.jpg,Stimuli/6C3.jpg,,,,,0,9,9,6,,,,,,,,966.2909342000021,None,967.2912759000028,None,973.2913085,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]",,9.275770920012292,23.79257762000998,14.04270112001177,"[0.0712962962962963, 0.3574074074074074, 0.29814814814814816]","[-0.41759259259259257, 0.001851851851851852, -0.24074074074074073]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.275115799999185, 14.041498099999444, 23.791702599999553]",0.00020842000958509743,23.791623520010035,['A1'],['B1'],['C2'],['blue'],['salmon'],['yellow'],1002.6403218000014,None,10.0,1.763494400001946,1002.6403218000014,None,1014.6092916000016,None,10.0,3.1143267000006745,1006.0903463000031,None,9.0,5.514423099997657,1011.1735410000001,None,7.0,3.43203160000121,<function functionImportanceB at 0x000002C59EB86268>,<function functionImportanceC at 0x000002C59EB86EA0>,<function functionImportanceA at 0x000002C59EB86D08>,,,6.0,3.1143267000006745,0.0,2.9143995999984327,2.0,3.297802599998249,<function functiondiffC at 0x000002C59EB86950>,<function functiondiffB at 0x000002C59EB86400>,<function functiondiffA at 0x000002C59EB86488>,,,,,978.3839010000011,1022.0912063000033,None,1016.9568548000025,None,1025.2898858000008,None,26,001,2022_Jul_20_1452,2leo,2021.2.3,59.9671739694624,
3,18,Plan your Saturday night ,Stimuli/18A1.jpg,Stimuli/18A2.jpg,Stimuli/18A3.jpg,Stimuli/18B1.jpg,Stimuli/18B2.jpg,Stimuli/18B3.jpg,Stimuli/18C1.jpg,Stimuli/18C2.jpg,Stimuli/18C3.jpg,,,,,0,10,10,18,,,,,,,,1027.4395121000016,None,1028.439733000003,None,1034.4398342000022,None,"[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]",,28.89041802000429,16.724473120004404,32.29058212000382,"[0.06666666666666667, -0.34629629629629627, -0.1574074074074074]","[-0.36574074074074076, -0.13240740740740742, 0.3592592592592593]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[16.719278000000486, 28.88556139999855, 32.28520260000005]",0.00441332000264083,32.28957532000277,['A1'],['B2'],['C1'],['yellow'],['blue'],['salmon'],1068.321837200001,None,10.0,4.046804199999315,1068.321837200001,None,1072.471977600002,None,10.0,2.9960447999983444,1075.4549898000005,None,9.0,2.0652407000015955,1077.588482500003,None,0.0,4.931717899999057,<function functionImportanceA at 0x000002C59EB86158>,<function functionImportanceB at 0x000002C5A0097730>,<function functionImportanceC at 0x000002C5A00976A8>,,,3.0,2.9960447999983444,-0.0,1.9646187999969698,0.0,3.2812510000003385,<function functiondiffC at 0x000002C5A0097950>,<function functiondiffB at 0x000002C59EB86AE8>,<function functiondiffA at 0x000002C59EB861E0>,,,,,1035.5525944,1087.6049893000018,None,1082.4550230000023,None,1090.921471900001,None,26,001,2022_Jul_20_1452,2leo,2021.2.3,59.9671739694624,
3,16,Plan a delicious cake for the birthday of a friend,Stimuli/16A1.jpg,Stimuli/16A2.jpg,Stimuli/16A3.jpg,Stimuli/16B1.jpg,Stimuli/16B2.jpg,Stimuli/16B3.jpg,Stimuli/16C1.jpg,Stimuli/16C2.jpg,Stimuli/16C3.jpg,,,,,0,11,11,16,,,,,,,,1092.4044976000005,None,1093.404611500002,None,1099.4046232,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]",,21.404306900003576,30.504362600004242,28.871378400002868,"[-0.13425925925925927, -0.2861111111111111, -0.32037037037037036, 0.30185185185185187]","[0.3074074074074074, -0.08148148148148149, -0.08055555555555556, 0.2796296296296296]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[21.391078600001492, 28.42421590000231, 28.85758160000114, 30.49094250000053]",0.012718000005406793,30.50343100000464,['A2'],['B1'],['C2'],['salmon'],['blue'],['yellow'],1131.7868800000033,None,10.0,2.1299959999996645,1131.7868800000033,None,1133.9867712000014,None,10.0,2.9803843000008783,1137.203557500001,None,0.0,2.1319844000026933,1139.2033732000018,None,0.0,1.5486601000011433,<function functionImportanceA at 0x000002C5A0097D90>,<function functionImportanceB at 0x000002C5A0097510>,<function functionImportanceC at 0x000002C5A0097598>,,,-0.0,2.9803843000008783,4.0,3.8808303000005253,0.0,2.1478757000004407,<function functiondiffA at 0x000002C59C837620>,<function functiondiffC at 0x000002C59EB86840>,<function functiondiffB at 0x000002C59EB860D0>,,,,,1100.8266482,1147.0533520000026,None,1144.5866881000002,None,1140.670159600002,None,26,001,2022_Jul_20_1452,2leo,2021.2.3,59.9671739694624,
3,32,Plan how you want to relax after a workday,Stimuli/32A1.jpg,Stimuli/32A2.jpg,Stimuli/32A3.jpg,Stimuli/32B1.jpg,Stimuli/32B2.jpg,Stimuli/32B3.jpg,Stimuli/32C1.jpg,Stimuli/32C2.jpg,Stimuli/32C3.jpg,,,,,0,12,12,32,,,,,,,,1148.686307400003,None,1149.686404,None,1155.6864780000033,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",,12.612265380008466,15.978939580007136,19.812376880006923,"[-0.19444444444444445, 0.325, 0.27037037037037037]","[0.28703703703703703, -0.29074074074074074, 0.22870370370370371]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[12.595584800001234, 15.962163500000315, 19.7952600000026]",0.01607588000842952,19.811266680007975,['A3'],['B1'],['C2'],['salmon'],['blue'],['yellow'],1178.9356407000014,None,10.0,1.7305337999969197,1178.9356407000014,None,1190.7520811000031,None,10.0,3.931851099998312,1185.5021645000015,None,8.0,4.931771399998979,1180.7357396000007,None,6.0,3.9645200000013574,<function functionImportanceC at 0x000002C5A0097488>,<function functionImportanceB at 0x000002C5A0097620>,<function functionImportanceA at 0x000002C5A0097A60>,,,0.0,3.931851099998312,2.0,3.5974896000006993,0.0,1.9811967999994522,<function functiondiffA at 0x000002C5A00977B8>,<function functiondiffB at 0x000002C5A00978C8>,<function functiondiffC at 0x000002C5A0097F28>,,,,,1158.673161300001,1197.3683722000023,None,1199.1853630000005,None,1193.9212512000013,None,26,001,2022_Jul_20_1452,2leo,2021.2.3,59.9671739694624,
