Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffC_response,slider_diffC_rt,slider_diffA_response,slider_diffA_rt,slider_diffB_response,slider_diffB_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffB_started,question_diffB_stopped,question_diffA_started,question_diffA_stopped,question_diffC_started,question_diffC_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,30.523426699999618,None,1,[14.891973599998892],[14.891977999999654],30.523426699999618,None,92.76510589999998,None,93.76911209999889,None,99.76889059999849,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]",103.77118089999931,40.42385564000142,3.691845640001702,28.0748439400013,"[-0.000925925925925926, 0.22592592592592592, 0.26666666666666666, -0.30185185185185187, -0.15, -0.16296296296296298, -0.2064814814814815, -0.19444444444444445, 0.2824074074074074]","[-0.3675925925925926, 0.28888888888888886, 0.23796296296296296, 0.14444444444444443, 0.38425925925925924, -0.35555555555555557, -0.32037037037037036, -0.2953703703703704, -0.26851851851851855]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[3.677815000000919, 7.511072700001023, 9.711299400001735, 10.677825900000244, 28.06046090000018, 34.477035400001114, 35.37706730000173, 37.24368230000073, 40.410115900000164]",0.01330804000099306,40.423371040002166,['A1'],['B1'],['C2'],['yellow'],['blue'],['salmon'],144.65137510000022,None,7.0,7.330396700001074,144.65137510000022,None,153.6008469999997,None,4.0,19.381596299999728,172.73351869999897,None,8.0,7.480390100001387,178.96682209999926,None,6.0,3.431683000000703,<function functionImportanceBt at 0x000001A46C669950>,<function functionImportanceAt at 0x000001A46C669598>,<function functionImportanceCt at 0x000001A46C669D90>,200.34959159999926,None,3.0,12.080678599999374,6.0,7.480390100001387,0.0,4.264637899999798,<function functiondiffCt at 0x000001A404001EA0>,<function functiondiffAt at 0x000001A404001AE8>,<function functiondiffBt at 0x000001A404001F28>,,,,,,,,,,,,003,001,2022_Jun_13_1245,2leo,2021.2.3,60.01006968952248,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,203.69951519999995,None,204.69934589999866,None,210.6992812999997,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]",216.7945533000002,46.161357080003654,13.644484580005155,6.378457680004431,"[-0.18425925925925926, 0.2777777777777778, -0.14351851851851852, -0.1814814814814815, -0.3425925925925926, -0.3490740740740741]","[0.3314814814814815, -0.262037037037037, -0.3509259259259259, -0.3509259259259259, -0.14722222222222223, -0.14166666666666666]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[6.375584000001254, 13.641797100000986, 15.858272900000884, 16.875027400001272, 21.992005199999767, 22.725002799999857]",0.001932580003995099,46.15949728000487,['A2'],['B2'],['C1'],['blue'],['salmon'],['yellow'],263.4144534999996,None,8.0,4.8459737000011955,263.4144534999996,None,287.2473508999992,None,4.0,11.515116999999009,270.2142621999992,None,10.0,8.431019299998297,278.2472354999991,None,8.0,8.731780699999945,<function functionImportanceAt at 0x000001A46C669840>,<function functionImportanceCt at 0x000001A46C529D90>,<function functionImportanceBt at 0x000001A46C669D08>,311.7133127999987,None,4.0,5.3478567999991355,1.0,8.431019299998297,4.0,7.231138200000714,<function functiondiffBt at 0x000001A404001268>,<function functiondiffAt at 0x000001A4040011E0>,<function functiondiffCt at 0x000001A404001158>,,,,,,,,,,,,003,001,2022_Jun_13_1245,2leo,2021.2.3,60.01006968952248,
3,13,Plan a romantic date this weekend,Stimuli/13A1.jpg,Stimuli/13A2.jpg,Stimuli/13A3.jpg,Stimuli/13B1.jpg,Stimuli/13B2.jpg,Stimuli/13B3.jpg,Stimuli/13C1.jpg,Stimuli/13C2.jpg,Stimuli/13C3.jpg,,,,,0,0,0,13,,,,,,,,364.9922654999991,None,365.97861379999995,None,371.97852689999854,None,"[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,19.563377579999724,16.146981379999488,9.564081579999765,"[-0.24814814814814815, -0.3888888888888889, 0.10925925925925926]","[-0.3194444444444444, 0.11944444444444445, 0.41759259259259257]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.562865599998986, 16.14612599999964, 19.562912499999584]",5.25800005561905e-05,19.56270028000108,['A1'],['B2'],['C3'],['blue'],['salmon'],['yellow'],393.29430649999995,None,9.0,5.762328699998761,393.29430649999995,None,413.3439282999989,None,1.0,6.248138399998425,406.960733599999,None,9.0,6.348192100000233,399.1777213999994,None,5.0,7.747937100000854,<function functionImportanceC at 0x000001A4049A5400>,<function functionImportanceA at 0x000001A46C669BF8>,<function functionImportanceB at 0x000001A4040017B8>,,,2.0,6.348192100000233,2.0,6.164482500000304,2.0,4.464083400000163,<function functiondiffB at 0x000001A404001400>,<function functiondiffA at 0x000001A4040010D0>,<function functiondiffC at 0x000001A404001598>,316.1298958999996,None,316.1298958999996,None,373.2478291999996,419.5105273999998,None,423.97695849999945,None,430.1603275999987,None,003,001,2022_Jun_13_1245,2leo,2021.2.3,60.01006968952248,
3,38,Plan how you want to go for a run,Stimuli/38A1.jpg,Stimuli/38A2.jpg,Stimuli/38A3.jpg,Stimuli/38B1.jpg,Stimuli/38B2.jpg,Stimuli/38B3.jpg,Stimuli/38C1.jpg,Stimuli/38C2.jpg,Stimuli/38C3.jpg,,,,,0,1,1,38,,,,,,,,435.4100714999986,None,436.4098844,None,442.41003569999884,None,"[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]",,15.202034220001224,21.48567292000007,10.052556320000804,"[0.42962962962962964, -0.35185185185185186, -0.35185185185185186]","[0.017592592592592594, -0.14907407407407408, 0.17962962962962964]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.040726799999902, 15.190626300000076, 21.4740469999997]",0.010771720000775531,21.48451552000006,['A3'],['B3'],['C2'],['salmon'],['blue'],['yellow'],465.59234599999945,None,9.0,5.4634490000007645,465.59234599999945,None,476.7257054999991,None,2.0,6.031428600001163,482.77553589999843,None,10.0,6.381475800000771,471.20908569999847,None,6.0,5.580706500000815,<function functionImportanceC at 0x000001A4049A5730>,<function functionImportanceB at 0x000001A4049A5EA0>,<function functionImportanceA at 0x000001A4049A5F28>,,,2.0,6.381475800000771,4.0,4.914483099999416,2.0,2.9976710000009916,<function functiondiffC at 0x000001A4040018C8>,<function functiondiffB at 0x000001A460616158>,<function functiondiffA at 0x000001A46996C8C8>,,,,,443.6346453999995,493.0919106000001,None,496.10824429999957,None,489.15877349999937,None,003,001,2022_Jun_13_1245,2leo,2021.2.3,60.01006968952248,
3,20,Plan a tea party with your friends,Stimuli/20A1.jpg,Stimuli/20A2.jpg,Stimuli/20A3.jpg,Stimuli/20B1.jpg,Stimuli/20B2.jpg,Stimuli/20B3.jpg,Stimuli/20C1.jpg,Stimuli/20C2.jpg,Stimuli/20C3.jpg,,,,,0,2,2,20,,,,,,,,500.54172560000006,None,501.5415877999985,None,507.5415901999986,None,"[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]",,5.515671500004828,9.632323500001803,12.282698300004995,"[0.06666666666666667, 0.03333333333333333, -0.13055555555555556]","[0.3768518518518518, -0.4166666666666667, -0.36203703703703705]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.508707100001629, 9.625202999999601, 12.275278699999035]",0.006438800002797507,12.281662300003518,['A2'],['B1'],['C1'],['salmon'],['yellow'],['blue'],523.9075470000007,None,9.0,4.780473800001346,523.9075470000007,None,535.411446199998,None,7.0,8.88160710000011,528.7742954999976,None,10.0,4.197716099999525,541.8739512000011,None,3.0,4.531596600001649,<function functionImportanceA at 0x000001A4049A5620>,<function functionImportanceB at 0x000001A4049A5158>,<function functionImportanceC at 0x000001A402265620>,,,3.0,4.197716099999525,0.0,3.9643434999998135,2.0,5.197450800002116,<function functiondiffC at 0x000001A404001C80>,<function functiondiffB at 0x000001A404001840>,<function functiondiffA at 0x000001A4049A57B8>,,,,,511.1627131999994,550.557098700001,None,555.2069075999989,None,546.3904715999979,None,003,001,2022_Jun_13_1245,2leo,2021.2.3,60.01006968952248,
3,2,Plan which ingredients you want to use for cooking dinner today,Stimuli/2A1.jpg,Stimuli/2A2.jpg,Stimuli/2A3.jpg,Stimuli/2B1.jpg,Stimuli/2B2.jpg,Stimuli/2B3.jpg,Stimuli/2C1.jpg,Stimuli/2C2.jpg,Stimuli/2C3.jpg,,,,,0,3,3,2,,,,,,,,558.6900479999986,None,559.6901185999977,None,565.6899962999978,None,"[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]",,15.486919940001826,10.421073240002443,6.654467440002918,"[-0.16018518518518518, -0.31203703703703706, 0.026851851851851852]","[0.37777777777777777, 0.1712962962962963, 0.3787037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.638258899998618, 10.405096999998932, 15.47121369999877]",0.015115840000362368,15.486242540002422,['A2'],['B3'],['C3'],['salmon'],['blue'],['yellow'],587.7392654999985,None,10.0,2.730434900000546,587.7392654999985,None,602.605738799999,None,3.0,9.598332100002153,610.0052048999987,None,3.0,4.948257500000182,591.1391586000009,None,7.0,8.69758290000027,<function functionImportanceC at 0x000001A402265048>,<function functionImportanceB at 0x000001A4049A5B70>,<function functionImportanceA at 0x000001A404001620>,,,2.0,4.948257500000182,2.0,6.547575299999153,3.0,5.030799599997408,<function functiondiffB at 0x000001A4049A5840>,<function functiondiffA at 0x000001A404001B70>,<function functiondiffC at 0x000001A402265AE8>,,,,,571.8026571999999,614.6554331999996,None,619.1717955000004,None,625.5883878000004,None,003,001,2022_Jun_13_1245,2leo,2021.2.3,60.01006968952248,
3,8,Plan the interior of your living-room ,Stimuli/8A1.jpg,Stimuli/8A2.jpg,Stimuli/8A3.jpg,Stimuli/8B1.jpg,Stimuli/8B2.jpg,Stimuli/8B3.jpg,Stimuli/8C1.jpg,Stimuli/8C2.jpg,Stimuli/8C3.jpg,,,,,0,4,4,8,,,,,,,,628.6383144999982,None,629.6382728999979,None,635.6381624999976,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",,11.19435634000547,21.67874354000378,26.461475840002095,"[0.03148148148148148, 0.33611111111111114]","[-0.3435185185185185, -0.028703703703703703]","[1, 1]","[0, 0]","[0, 0]","[11.182127199997922, 21.681688499997108]",0.01181524000276113,26.459918440003094,['A1'],['B2'],['C2'],['salmon'],['yellow'],['blue'],667.487167199999,None,6.0,2.812964299999294,667.487167199999,None,672.2369359999993,None,9.0,7.164182399999845,683.8367546999998,None,9.0,3.2321707000010065,679.5037131000008,None,9.0,6.231560099997296,<function functionImportanceB at 0x000001A402265D90>,<function functionImportanceC at 0x000001A402265158>,<function functionImportanceA at 0x000001A402265E18>,,,3.0,3.2321707000010065,9.0,3.7481639000034193,6.0,4.215794199997617,<function functiondiffA at 0x000001A402265400>,<function functiondiffC at 0x000001A402265D08>,<function functiondiffB at 0x000001A4022651E0>,,,,,640.5725000000002,696.0197342999982,None,687.0202098999998,None,691.3535078000004,None,003,001,2022_Jun_13_1245,2leo,2021.2.3,60.01006968952248,
3,35,Plan how you want to do your grocery shopping ,Stimuli/35A1.jpg,Stimuli/35A2.jpg,Stimuli/35A3.jpg,Stimuli/35B1.jpg,Stimuli/35B2.jpg,Stimuli/35B3.jpg,Stimuli/35C1.jpg,Stimuli/35C2.jpg,Stimuli/35C3.jpg,,,,,0,5,5,35,,,,,,,,699.2362343999976,None,700.236354300001,None,706.2364814000011,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]",,12.780214579997846,21.613584679998894,16.91430907999893,"[-0.11018518518518519, -0.14907407407407408, 0.37962962962962965, 0.3333333333333333]","[0.33425925925925926, 0.32592592592592595, -0.2518518518518518, 0.27314814814814814]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[12.779635200000484, 13.396315000001778, 16.91313319999972, 21.612784900000406]",7.827999797882512e-05,21.61282177999965,['A2'],['B1'],['C3'],['salmon'],['blue'],['yellow'],729.6022156999989,None,7.0,2.513355600000068,729.6022156999989,None,732.3022510999999,None,10.0,5.780927899999369,740.7186515999983,None,8.0,4.666677400000481,738.0363606999981,None,10.0,2.698639100002765,<function functionImportanceB at 0x000001A402265B70>,<function functionImportanceC at 0x000001A402265268>,<function functionImportanceA at 0x000001A402265BF8>,,,0.0,4.666677400000481,3.0,3.81248240000059,0.0,3.664853199999925,<function functiondiffA at 0x000001A4049A5AE8>,<function functiondiffC at 0x000001A45A6F40D0>,<function functiondiffB at 0x000001A4049A5D90>,,,,,707.505504499999,753.618367000001,None,745.3515874999994,None,749.1850527000006,None,003,001,2022_Jun_13_1245,2leo,2021.2.3,60.01006968952248,
3,16,Plan a delicious cake for the birthday of a friend,Stimuli/16A1.jpg,Stimuli/16A2.jpg,Stimuli/16A3.jpg,Stimuli/16B1.jpg,Stimuli/16B2.jpg,Stimuli/16B3.jpg,Stimuli/16C1.jpg,Stimuli/16C2.jpg,Stimuli/16C3.jpg,,,,,0,6,6,16,,,,,,,,756.7848709000009,None,757.7848627000003,None,763.7848771000008,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,26.63337478000176,39.00000948000161,36.100656779999554,"[-0.14537037037037037, -0.37037037037037035, 0.3138888888888889]","[0.32314814814814813, -0.18518518518518517, 0.2518518518518518]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[26.630265100000543, 36.0970613999998, 38.996556099999]",0.002598580002086237,38.99887497999953,['A2'],['B3'],['C2'],['blue'],['yellow'],['salmon'],804.7002324999976,None,3.0,4.6463780000012775,804.7002324999976,None,814.0002987999997,None,4.0,4.9484210000009625,809.4168541999989,None,8.0,4.348176499999681,818.8191089999982,None,6.0,2.8483875000019907,<function functionImportanceA at 0x000001A402265488>,<function functionImportanceB at 0x000001A402265378>,<function functionImportanceC at 0x000001A4049A52F0>,,,2.0,4.348176499999681,6.0,3.231109899999865,7.0,5.180644199997914,<function functiondiffB at 0x000001A4049A5D08>,<function functiondiffA at 0x000001A4049A5510>,<function functiondiffC at 0x000001A4049A5BF8>,,,,,765.2349287999987,821.6330952000008,None,826.783120099999,None,830.0497022,None,003,001,2022_Jun_13_1245,2leo,2021.2.3,60.01006968952248,
3,19,Plan how you want your garden to look like,Stimuli/19A1.jpg,Stimuli/19A2.jpg,Stimuli/19A3.jpg,Stimuli/19B1.jpg,Stimuli/19B2.jpg,Stimuli/19B3.jpg,Stimuli/19C1.jpg,Stimuli/19C2.jpg,Stimuli/19C3.jpg,,,,,0,7,7,19,,,,,,,,833.466142299998,None,834.4662050999996,None,840.4662773,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",,12.050577460006025,15.36672436000299,8.183967860004486,"[0.32314814814814813, 0.3712962962962963, 0.03425925925925926]","[0.21481481481481482, 0.000925925925925926, 0.4009259259259259]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.167662700001529, 12.050599400001374, 15.350666199999978]",0.015353160004451638,15.365722760005156,['A1'],['B1'],['C1'],['salmon'],['blue'],['yellow'],859.932014,None,9.0,2.513854299999366,859.932014,None,863.6020415000003,None,8.0,5.897268199998507,868.448429099999,None,6.0,7.2655407000020205,877.0816915999985,None,7.0,5.431959499997902,<function functionImportanceB at 0x000001A4049A56A8>,<function functionImportanceA at 0x000001A4049A58C8>,<function functionImportanceC at 0x000001A4049A5E18>,,,2.0,7.2655407000020205,2.0,2.147880800002895,2.0,5.580985600001441,<function functiondiffB at 0x000001A402265A60>,<function functiondiffC at 0x000001A4049A5A60>,<function functiondiffA at 0x000001A404001950>,,,,,844.1177549000004,881.3650065999991,None,890.1480453999993,None,887.0980383999977,None,003,001,2022_Jun_13_1245,2leo,2021.2.3,60.01006968952248,
3,36,Plan your shopping for new clothing,Stimuli/36A1.jpg,Stimuli/36A2.jpg,Stimuli/36A3.jpg,Stimuli/36B1.jpg,Stimuli/36B2.jpg,Stimuli/36B3.jpg,Stimuli/36C1.jpg,Stimuli/36C2.jpg,Stimuli/36C3.jpg,,,,,0,8,8,36,,,,,,,,891.8147506999976,None,892.8147125999985,None,898.8146806999994,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",,30.133085120000032,16.78387551999913,24.617550920000212,"[-0.17037037037037037, -0.005555555555555556, 0.06944444444444445]","[-0.32407407407407407, 0.35833333333333334, -0.37592592592592594]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[16.782124600002135, 24.615643100001762, 30.131573300001037]",0.000910920000023907,30.13223371999993,['A3'],['B3'],['C2'],['blue'],['salmon'],['yellow'],930.5802877000006,None,5.0,3.4968684000014036,930.5802877000006,None,939.7966689000004,None,6.0,5.765103900001122,934.1469497999988,None,6.0,5.614460099997814,945.6132024999988,None,3.0,3.331803299999592,<function functionImportanceA at 0x000001A4022650D0>,<function functionImportanceB at 0x000001A402265510>,<function functionImportanceC at 0x000001A4022656A8>,,,6.0,5.614460099997814,6.0,4.214565599999332,6.0,4.79762970000229,<function functiondiffB at 0x000001A4049A5C80>,<function functiondiffA at 0x000001A402265C80>,<function functiondiffC at 0x000001A4049A5268>,,,,,899.9630553000006,948.8798812000005,None,953.696531399999,None,957.9131045999984,None,003,001,2022_Jun_13_1245,2leo,2021.2.3,60.01006968952248,
3,9,Plan a picnic with friends,Stimuli/9A1.jpg,Stimuli/9A2.jpg,Stimuli/9A3.jpg,Stimuli/9B1.jpg,Stimuli/9B2.jpg,Stimuli/9B3.jpg,Stimuli/9C1.jpg,Stimuli/9C2.jpg,Stimuli/9C3.jpg,,,,,0,9,9,9,,,,,,,,961.7794482000008,None,962.7803158999977,None,968.7794812000011,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,8.3282565000045,7.12834620000649,16.09635380000691,"[-0.2, 0.2712962962962963, -0.29814814814814816]","[-0.37592592592592594, -0.24351851851851852, 0.14166666666666666]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.121242299999722, 8.321412000001146, 16.08886110000094]",0.0064234000055876095,16.094332900003792,['A1'],['B1'],['C2'],['blue'],['salmon'],['yellow'],990.7286943999989,None,6.0,2.495908499997313,990.7286943999989,None,994.5648429999983,None,7.0,7.930910200000653,1008.064528500001,None,8.0,6.865373600001476,1002.6971362999993,None,6.0,5.298484299997654,<function functionImportanceB at 0x000001A4049A5598>,<function functionImportanceC at 0x000001A400327048>,<function functionImportanceA at 0x000001A4022659D8>,,,6.0,6.865373600001476,1.0,3.647832099999505,2.0,5.147556899999472,<function functiondiffC at 0x000001A400327598>,<function functiondiffA at 0x000001A4022657B8>,<function functiondiffB at 0x000001A4049A5048>,,,,,974.1755095999997,1022.0113958999991,None,1018.4115139000005,None,1013.8780887999983,None,003,001,2022_Jun_13_1245,2leo,2021.2.3,60.01006968952248,
3,10,Plan a restaurant visit with your family on the weekend ,Stimuli/10A1.jpg,Stimuli/10A2.jpg,Stimuli/10A3.jpg,Stimuli/10B1.jpg,Stimuli/10B2.jpg,Stimuli/10B3.jpg,Stimuli/10C1.jpg,Stimuli/10C2.jpg,Stimuli/10C3.jpg,,,,,0,10,10,10,,,,,,,,1026.2945492999988,None,1027.294252499998,None,1033.2943933000006,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",,24.392711620002956,13.009650620006141,8.743511820004642,"[-0.31203703703703706, -0.22407407407407406, 0.2675925925925926]","[-0.09814814814814815, -0.3685185185185185, 0.2657407407407407]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.73614599999928, 13.002704200000153, 24.38594970000122]",0.00622792000285699,24.391942720005318,['A2'],['B1'],['C3'],['salmon'],['blue'],['yellow'],1062.260144599999,None,3.0,2.497159999998985,1062.260144599999,None,1067.646698300001,None,8.0,9.996224200000142,1074.9929448999992,None,8.0,4.181839900000341,1079.0598078999992,None,9.0,2.898665400000027,<function functionImportanceB at 0x000001A400327378>,<function functionImportanceA at 0x000001A4003276A8>,<function functionImportanceC at 0x000001A400327400>,,,1.0,4.181839900000341,7.0,5.880948500001978,8.0,4.8648003000016615,<function functiondiffA at 0x000001A4049A5950>,<function functiondiffC at 0x000001A402265840>,<function functiondiffB at 0x000001A402265950>,,,,,1037.404338800001,1091.9596146999993,None,1081.9597659999981,None,1087.8261335000007,None,003,001,2022_Jun_13_1245,2leo,2021.2.3,60.01006968952248,
3,14,Plan your own Pizza for dinner,Stimuli/14A1.jpg,Stimuli/14A2.jpg,Stimuli/14A3.jpg,Stimuli/14B1.jpg,Stimuli/14B2.jpg,Stimuli/14B3.jpg,Stimuli/14C1.jpg,Stimuli/14C2.jpg,Stimuli/14C3.jpg,,,,,0,11,11,14,,,,,,,,1095.575793099999,None,1096.5759170000001,None,1102.575902399998,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",,10.281442160001461,5.7154001600029005,13.664682360002189,"[0.3148148148148148, 0.35648148148148145, 0.07407407407407407]","[-0.25092592592592594, 0.04814814814814815, -0.37037037037037035]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.706315499999619, 10.27252260000023, 13.655335600000399]",0.008411160000832751,13.663585060003243,['A2'],['B1'],['C1'],['salmon'],['yellow'],['blue'],1117.9083238000003,None,4.0,3.347211399999651,1117.9083238000003,None,1121.4418772000008,None,1.0,5.4810717000000295,1130.674909200001,None,2.0,5.1320305000008375,1126.8083189000008,None,10.0,3.8314404000011564,<function functionImportanceB at 0x000001A400327268>,<function functionImportanceC at 0x000001A400327840>,<function functionImportanceA at 0x000001A4003279D8>,,,1.0,5.1320305000008375,5.0,3.0641278000002785,5.0,4.414554399998451,<function functiondiffC at 0x000001A400327620>,<function functiondiffB at 0x000001A400327158>,<function functiondiffA at 0x000001A400327D90>,,,,,1103.7674906999982,1140.991622399999,None,1145.4079416999975,None,1135.7914598999978,None,003,001,2022_Jun_13_1245,2leo,2021.2.3,60.01006968952248,
3,32,Plan how you want to relax after a workday,Stimuli/32A1.jpg,Stimuli/32A2.jpg,Stimuli/32A3.jpg,Stimuli/32B1.jpg,Stimuli/32B2.jpg,Stimuli/32B3.jpg,Stimuli/32C1.jpg,Stimuli/32C2.jpg,Stimuli/32C3.jpg,,,,,0,12,12,32,,,,,,,,1147.9913206,None,1148.9912486999983,None,1154.9915670999999,None,"[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,18.306580100001156,14.106758000001719,22.50714880000305,"[-0.14166666666666666, -0.35, -0.3212962962962963]","[-0.31574074074074077, -0.1527777777777778, 0.1648148148148148]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[14.090751400002773, 18.29071350000231, 22.49081330000263]",0.015316300003178185,22.505831600003148,['A2'],['B1'],['C2'],['salmon'],['yellow'],['blue'],1180.9733533999988,None,9.0,2.8298825999991095,1180.9733533999988,None,1188.6902107000005,None,6.0,4.698432199998933,1193.7067748999998,None,7.0,6.031443399999262,1183.8737868999979,None,4.0,4.014228699998057,<function functionImportanceC at 0x000001A400327B70>,<function functionImportanceB at 0x000001A400327E18>,<function functionImportanceA at 0x000001A4022652F0>,,,2.0,6.031443399999262,1.0,5.247750899998209,1.0,3.5646505000004254,<function functiondiffB at 0x000001A4003277B8>,<function functiondiffA at 0x000001A4003272F0>,<function functiondiffC at 0x000001A400327730>,,,,,1158.0172823999983,1198.8063825000008,None,1202.5793753999988,None,1207.4731630999977,None,003,001,2022_Jun_13_1245,2leo,2021.2.3,60.01006968952248,
