Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffA_response,slider_diffA_rt,slider_diffC_response,slider_diffC_rt,slider_diffB_response,slider_diffB_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffC_started,question_diffC_stopped,question_diffA_started,question_diffA_stopped,question_diffB_started,question_diffB_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,32.16324439999994,None,1,[5.082506299999977],[5.08253179999997],32.16324439999994,None,89.77122989999998,None,90.77246190000005,None,96.77244790000009,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]",100.83668089999992,22.311801480001122,8.345707180001,14.829229380001152,"[-0.3907407407407407, 0.049074074074074076, 0.3212962962962963]","[0.11388888888888889, 0.3416666666666667, 0.014814814814814815]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.33369800000014, 14.816950300000144, 22.300017600000047]",0.011266280001109408,22.31124418000104,['A2'],['B1'],['C2'],['yellow'],['blue'],['salmon'],123.6047208,None,10.0,5.1136507000001075,123.6047208,None,130.10452220000002,None,9.0,13.913983800000096,144.30442190000008,None,8.0,5.548051299999997,148.30419260000008,None,3.0,13.41463090000002,<function functionImportanceAt at 0x000002620B271E18>,<function functionImportanceBt at 0x000002620E851268>,<function functionImportanceCt at 0x000002621A8A0D90>,182.00320439999996,None,2.0,13.913983800000096,2.0,6.097737699999925,6.0,5.531082200000128,<function functiondiffAt at 0x000002621B604F28>,<function functiondiffCt at 0x000002621B604D90>,<function functiondiffBt at 0x000002621B604EA0>,,,,,,,,,,,,15,001,2022_Jul_19_0903,2leo,2021.2.3,59.965411950381636,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,186.60305449999987,None,187.60315689999993,None,193.60316669999997,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",199.74742779999997,23.58875210000133,45.488483400001314,29.539484400001356,"[-0.20555555555555555, 0.046296296296296294, 0.05555555555555555]","[0.3277777777777778, -0.3527777777777778, 0.35]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[23.58753700000011, 29.53770589999999, 45.487087700000075]",0.0006914000014148769,45.487756500001296,['A2'],['B1'],['C3'],['blue'],['salmon'],['yellow'],245.70129539999994,None,7.0,11.497513799999979,245.70129539999994,None,265.8173262,None,6.0,18.081699800000024,283.7170624999999,None,9.0,9.498104799999965,258.7343317,None,7.0,6.614164600000095,<function functionImportanceCt at 0x000002620FF64E18>,<function functionImportanceAt at 0x000002621A8A0268>,<function functionImportanceBt at 0x000002621A8A0EA0>,305.6999025,None,1.0,18.081699800000024,7.0,7.763911900000039,3.0,5.731055599999991,<function functiondiffCt at 0x000002621B604840>,<function functiondiffBt at 0x000002621B6042F0>,<function functiondiffAt at 0x000002621B6041E0>,,,,,,,,,,,,15,001,2022_Jul_19_0903,2leo,2021.2.3,59.965411950381636,
3,28,Plan a one-week camping trip in Spain,Stimuli/28A1.jpg,Stimuli/28A2.jpg,Stimuli/28A3.jpg,Stimuli/28B1.jpg,Stimuli/28B2.jpg,Stimuli/28B3.jpg,Stimuli/28C1.jpg,Stimuli/28C2.jpg,Stimuli/28C3.jpg,,,,,0,0,0,28,,,,,,,,433.2011324,None,434.17966150000007,None,440.17943820000005,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]",,16.58698987999992,19.120268779999833,35.93693847999998,"[0.04537037037037037, 0.28888888888888886, -0.19814814814814816]","[-0.3333333333333333, -0.24074074074074073, -0.29814814814814816]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[16.58375359999991, 19.11678209999991, 35.933213199999955]",0.002712879999762663,35.935733779999964,['A2'],['B2'],['C2'],['yellow'],['blue'],['salmon'],477.79482239999993,None,5.0,7.995521199999985,477.79482239999993,None,495.8275057000001,None,2.0,6.864931399999932,492.0442625999999,None,7.0,3.748502099999996,485.89452000000006,None,1.0,6.131208699999888,<function functionImportanceC at 0x000002621BA84488>,<function functionImportanceB at 0x000002621A8A0B70>,<function functionImportanceA at 0x000002621B604BF8>,,,3.0,10.881062200000088,7.0,6.864931399999932,1.0,8.430567299999893,<function functiondiffC at 0x000002621B6046A8>,<function functiondiffA at 0x000002621B604488>,<function functiondiffB at 0x000002621B604C80>,311.3829925,None,311.3829925,None,441.3778637999999,502.62755360000006,None,507.46073290000004,None,518.3602928,None,15,001,2022_Jul_19_0903,2leo,2021.2.3,59.965411950381636,
3,10,Plan a restaurant visit with your family on the weekend ,Stimuli/10A1.jpg,Stimuli/10A2.jpg,Stimuli/10A3.jpg,Stimuli/10B1.jpg,Stimuli/10B2.jpg,Stimuli/10B3.jpg,Stimuli/10C1.jpg,Stimuli/10C2.jpg,Stimuli/10C3.jpg,,,,,0,1,1,10,,,,,,,,526.3103678,None,527.3101912,None,533.3102558,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,14.714547620000758,28.114075420000745,17.514650620000566,"[-0.17037037037037037, 0.03148148148148148, 0.027777777777777776]","[0.3037037037037037, 0.3398148148148148, -0.39537037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[14.701674599999933, 17.501186599999983, 28.10092809999992]",0.012156020000702483,28.113225320000765,['A2'],['B1'],['C3'],['salmon'],['yellow'],['blue'],565.8757224000001,None,8.0,2.862639799999897,565.8757224000001,None,579.7254853,None,6.0,5.165221199999905,571.5590325000001,None,9.0,10.780643600000076,584.7752204999999,None,9.0,5.498580300000185,<function functionImportanceB at 0x000002621BA84C80>,<function functionImportanceA at 0x000002621BA84A60>,<function functionImportanceC at 0x000002621BA840D0>,,,1.0,4.181171100000029,0.0,5.165221199999905,2.0,3.7126923999999235,<function functiondiffC at 0x000002621B6048C8>,<function functiondiffA at 0x00000262081031E0>,<function functiondiffB at 0x000002621B604510>,,,,,537.3038959999999,590.2748191999999,None,596.2916045,None,601.2913853,None,15,001,2022_Jul_19_0903,2leo,2021.2.3,59.965411950381636,
3,11,Plan a hike in nature on a free day,Stimuli/11A1.jpg,Stimuli/11A2.jpg,Stimuli/11A3.jpg,Stimuli/11B1.jpg,Stimuli/11B2.jpg,Stimuli/11B3.jpg,Stimuli/11C1.jpg,Stimuli/11C2.jpg,Stimuli/11C3.jpg,,,,,0,2,2,11,,,,,,,,603.8120512,None,604.7245995000001,None,610.7244940999999,None,"[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",,24.72836058000007,10.395719780000036,33.81221688000005,"[-0.1685185185185185, 0.05185185185185185, -0.3314814814814815]","[0.29259259259259257, 0.3472222222222222, 0.1675925925925926]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.379529000000048, 24.71254840000006, 33.79580450000003]",0.015266279999877952,33.81091528000002,['A1'],['B2'],['C2'],['blue'],['salmon'],['yellow'],646.1900017,None,9.0,5.113687899999832,646.1900017,None,660.8896958999999,None,10.0,5.848573199999919,657.9732428,None,10.0,2.965263600000071,651.373239,None,6.0,6.514730900000131,<function functionImportanceC at 0x000002621BA84F28>,<function functionImportanceB at 0x000002621BA841E0>,<function functionImportanceA at 0x000002621BA84E18>,,,8.0,7.814602199999854,2.0,5.848573199999919,0.0,2.798901300000125,<function functiondiffC at 0x000002621B604A60>,<function functiondiffA at 0x000002621BA84598>,<function functiondiffB at 0x000002621BA84950>,,,,,611.910054,666.7229414999999,None,674.4561051999999,None,682.2892132,None,15,001,2022_Jul_19_0903,2leo,2021.2.3,59.965411950381636,
3,8,Plan the interior of your living-room ,Stimuli/8A1.jpg,Stimuli/8A2.jpg,Stimuli/8A3.jpg,Stimuli/8B1.jpg,Stimuli/8B2.jpg,Stimuli/8B3.jpg,Stimuli/8C1.jpg,Stimuli/8C2.jpg,Stimuli/8C3.jpg,,,,,0,3,3,8,,,,,,,,684.6055434,None,685.6055188999999,None,691.6056578,None,"[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]",,45.635315160001255,23.61954616000139,9.186859460001415,"[-0.412962962962963, 0.09722222222222222, -0.2212962962962963]","[0.12777777777777777, 0.34074074074074073, -0.35555555555555557]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.17557140000008, 23.60872630000017, 45.62467230000016]",0.010135260001334245,45.63457676000144,['A2'],['B1'],['C3'],['yellow'],['salmon'],['blue'],742.5538988000001,None,6.0,3.0300548000000163,742.5538988000001,None,745.6538204000001,None,6.0,4.164275899999893,751.5704622000001,None,4.0,5.281669700000066,757.0702403999999,None,9.0,4.714752399999952,<function functionImportanceA at 0x000002621BA84EA0>,<function functionImportanceB at 0x000002621BA84D90>,<function functionImportanceC at 0x0000026217B5EF28>,,,9.0,4.330951299999924,3.0,4.164275899999893,3.0,4.664495500000157,<function functiondiffC at 0x000002621BE09268>,<function functiondiffA at 0x000002621BA84730>,<function functiondiffB at 0x000002621BA84B70>,,,,,696.4622609,760.4365756,None,765.3034825,None,770.2032184,None,15,001,2022_Jul_19_0903,2leo,2021.2.3,59.965411950381636,
3,40,Plan to see a sports event ,Stimuli/40A1.jpg,Stimuli/40A2.jpg,Stimuli/40A3.jpg,Stimuli/40B1.jpg,Stimuli/40B2.jpg,Stimuli/40B3.jpg,Stimuli/40C1.jpg,Stimuli/40C2.jpg,Stimuli/40C3.jpg,,,,,0,4,4,40,,,,,,,,773.8363297999999,None,774.836431,None,780.8364457999999,None,"[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]",,26.37033636000001,6.370628359999955,39.33707095999989,"[0.43796296296296294, -0.3851851851851852, 0.2814814814814815]","[0.022222222222222223, -0.075, 0.18518518518518517]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.3747132000000875, 26.35762890000001, 39.32403650000015]",0.012084660000027725,39.3358155599999,['A3'],['B1'],['C1'],['blue'],['salmon'],['yellow'],822.0350219,None,5.0,5.9301995999999235,822.0350219,None,846.3847212000001,None,9.0,3.5148188000000573,834.9680716999999,None,7.0,11.564692400000013,828.1015947999999,None,1.0,6.731065700000045,<function functionImportanceC at 0x000002621BA84268>,<function functionImportanceB at 0x000002621BA84620>,<function functionImportanceA at 0x000002621BA84158>,,,0.0,4.031418699999904,8.0,3.5148188000000573,2.0,11.664562500000102,<function functiondiffB at 0x000002621BA849D8>,<function functiondiffA at 0x000002621BA84378>,<function functiondiffC at 0x000002621BE09400>,,,,,782.2290550999999,865.6006493,None,861.5505797999999,None,849.9010845999999,None,15,001,2022_Jul_19_0903,2leo,2021.2.3,59.965411950381636,
3,27,Plan what festival to visit with your friends,Stimuli/27A1.jpg,Stimuli/27A2.jpg,Stimuli/27A3.jpg,Stimuli/27B1.jpg,Stimuli/27B2.jpg,Stimuli/27B3.jpg,Stimuli/27C1.jpg,Stimuli/27C2.jpg,Stimuli/27C3.jpg,,,,,0,5,5,27,,,,,,,,870.2838334999999,None,871.2837522,None,877.283657,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,31.65181086000007,9.953218859999879,28.052434559999938,"[0.075, 0.27037037037037037, 0.4083333333333333]","[0.3648148148148148, 0.1935185185185185, 0.028703703703703703]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.95035729999995, 28.049299699999892, 31.64921749999985]",0.0019975600000634586,31.65115326,['A3'],['B3'],['C3'],['yellow'],['blue'],['salmon'],910.5655773000001,None,6.0,4.43046070000014,910.5655773000001,None,915.0489969,None,10.0,10.331354899999951,930.7986223,None,6.0,3.4986014999999497,925.4156121000001,None,2.0,5.364574299999958,<function functionImportanceA at 0x000002621BE09158>,<function functionImportanceC at 0x000002621BE09950>,<function functionImportanceB at 0x000002621BE09378>,,,1.0,6.0642219999999725,7.0,10.331354899999951,4.0,4.53115119999984,<function functiondiffA at 0x000002621BA848C8>,<function functiondiffC at 0x000002621BE09488>,<function functiondiffB at 0x000002621BA84840>,,,,,878.4342214000001,940.3652414000001,None,934.2819122999999,None,945.2485021,None,15,001,2022_Jul_19_0903,2leo,2021.2.3,59.965411950381636,
3,25,Plan how you want to read a book in your free time ,Stimuli/25A1.jpg,Stimuli/25A2.jpg,Stimuli/25A3.jpg,Stimuli/25B1.jpg,Stimuli/25B2.jpg,Stimuli/25B3.jpg,Stimuli/25C1.jpg,Stimuli/25C2.jpg,Stimuli/25C3.jpg,,,,,0,6,6,25,,,,,,,,949.2982546000001,None,950.2982674,None,956.2981335,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]",,6.812039100000447,38.36176670000032,25.478798200000256,"[-0.32592592592592595, -0.16296296296296298, 0.3]","[0.17962962962962964, -0.3814814814814815, -0.2722222222222222]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.7950135999999475, 25.46113009999999, 38.344389399999955]",0.016602500000317377,38.360748100000365,['A1'],['B2'],['C2'],['yellow'],['salmon'],['blue'],996.6133798999999,None,7.0,5.64676929999996,996.6133798999999,None,1002.3300353,None,10.0,4.964302900000121,1007.3465841,None,2.0,4.313297899999952,1011.9464765999999,None,8.0,11.514981499999976,<function functionImportanceA at 0x000002621BE09EA0>,<function functionImportanceB at 0x000002621BE09C80>,<function functionImportanceC at 0x000002621BE09E18>,,,0.0,3.0647721999998794,4.0,4.964302900000121,8.0,8.097742400000016,<function functiondiffB at 0x000002621B6049D8>,<function functiondiffC at 0x000002621B604598>,<function functiondiffA at 0x000002621A75FEA0>,,,,,957.7987166,1031.3460347999999,None,1038.7124689,None,1023.1627604999999,None,15,001,2022_Jul_19_0903,2leo,2021.2.3,59.965411950381636,
3,0,Plan a barbecue,Stimuli/0A1.jpg,Stimuli/0A2.jpg,Stimuli/0A3.jpg,Stimuli/0B1.jpg,Stimuli/0B2.jpg,Stimuli/0B3.jpg,Stimuli/0C1.jpg,Stimuli/0C2.jpg,Stimuli/0C3.jpg,,,,,0,7,7,0,,,,,,,,1041.2954533,None,1042.2956386,None,1048.2956013,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,5.515755100000433,20.93217510000045,15.499751700000388,"[-0.3333333333333333, -0.19537037037037036, 0.07407407407407407]","[0.11481481481481481, -0.3212962962962963, 0.3990740740740741]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.5089203, 15.492342999999892, 20.92515359999993]",0.0063113000005614595,20.93141540000056,['A2'],['B1'],['C3'],['salmon'],['blue'],['yellow'],1072.2111568,None,10.0,3.53055170000016,1072.2111568,None,1092.5776119,None,10.0,4.4319192000000385,1075.7945424,None,3.0,15.431220100000019,1095.7108306,None,3.0,8.098051199999873,<function functionImportanceB at 0x000002621BE097B8>,<function functionImportanceA at 0x000002621BE09B70>,<function functionImportanceC at 0x000002621BE09620>,,,-0.0,5.047581999999693,2.0,4.4319192000000385,1.0,2.8312822000002598,<function functiondiffA at 0x000002621BE098C8>,<function functiondiffB at 0x000002621BE09730>,<function functiondiffC at 0x000002621BE09D90>,,,,,1050.8147695,1111.6936292,None,1104.2104257,None,1108.8604467999999,None,15,001,2022_Jul_19_0903,2leo,2021.2.3,59.965411950381636,
3,6,Plan your wedding,Stimuli/6A1.jpg,Stimuli/6A2.jpg,Stimuli/6A3.jpg,Stimuli/6B1.jpg,Stimuli/6B2.jpg,Stimuli/6B3.jpg,Stimuli/6C1.jpg,Stimuli/6C2.jpg,Stimuli/6C3.jpg,,,,,0,8,8,6,,,,,,,,1117.9766049999998,None,1118.9769999,None,1124.9766961999999,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",,24.65536186000054,35.20663216000048,10.906551260000924,"[-0.14444444444444443, -0.4027777777777778, -0.3490740740740741]","[-0.27870370370370373, -0.17592592592592593, 0.075]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.900122399999873, 24.649702400000024, 35.200677799999994]",0.005223560000558791,35.20466226000053,['A1'],['B1'],['C3'],['salmon'],['yellow'],['blue'],1165.9253792999998,None,3.0,5.545715299999756,1165.9253792999998,None,1178.9085356,None,8.0,8.081781899999896,1187.4748945000001,None,2.0,6.499134700000013,1172.7419215999998,None,3.0,6.1473909999999705,<function functionImportanceC at 0x000002621BE091E0>,<function functionImportanceA at 0x000002621BE09D08>,<function functionImportanceB at 0x000002621BE096A8>,,,3.0,2.9977772000002005,8.0,8.081781899999896,10.0,2.966019100000267,<function functiondiffC at 0x000002621BA84BF8>,<function functiondiffB at 0x000002621BA84D08>,<function functiondiffA at 0x000002621BE09A60>,,,,,1130.2594746999998,1192.7080517999998,None,1201.5911458,None,1198.6913381999998,None,15,001,2022_Jul_19_0903,2leo,2021.2.3,59.965411950381636,
3,39,Plan what kind of watch you want to buy,Stimuli/39A1.jpg,Stimuli/39A2.jpg,Stimuli/39A3.jpg,Stimuli/39B1.jpg,Stimuli/39B2.jpg,Stimuli/39B3.jpg,Stimuli/39C1.jpg,Stimuli/39C2.jpg,Stimuli/39C3.jpg,,,,,0,9,9,39,,,,,,,,1203.7909098999999,None,1204.7910957,None,1210.7909777999998,None,"[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",,6.632649120000224,38.29909392000036,51.88202042000057,"[0.3, -0.16018518518518518, 0.2796296296296296]","[-0.26666666666666666, 0.3638888888888889, 0.19074074074074074]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.63163029999987, 38.2976392999999, 51.8803112999999]",0.0006027200001881283,51.88089762000027,['A1'],['B3'],['C2'],['blue'],['yellow'],['salmon'],1264.3724680999999,None,2.0,3.4471709999997984,1264.3724680999999,None,1267.9226008,None,6.0,7.980803599999945,1280.1221297000002,None,8.0,4.048548600000231,1275.9723961,None,1.0,4.198576700000103,<function functionImportanceA at 0x000002621BE09840>,<function functionImportanceC at 0x000002621DE92158>,<function functionImportanceB at 0x000002621DE920D0>,,,2.0,2.3646872999997868,8.0,7.980803599999945,8.0,4.0142571999999745,<function functiondiffB at 0x000002621BA84AE8>,<function functiondiffA at 0x000002621BE090D0>,<function functiondiffC at 0x000002621BA84048>,,,,,1212.0064555,1290.5551682,None,1288.1721478999998,None,1284.1387366,None,15,001,2022_Jul_19_0903,2leo,2021.2.3,59.965411950381636,
3,22,Plan a beach day with your friends,Stimuli/22A1.jpg,Stimuli/22A2.jpg,Stimuli/22A3.jpg,Stimuli/22B1.jpg,Stimuli/22B2.jpg,Stimuli/22B3.jpg,Stimuli/22C1.jpg,Stimuli/22C2.jpg,Stimuli/22C3.jpg,,,,,0,10,10,22,,,,,,,,1296.9048913000001,None,1297.904987,None,1303.9050266999998,None,"[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]",,11.906046039999637,31.755575639999734,32.27261083999974,"[0.3648148148148148, -0.35]","[0.014814814814814815, -0.0962962962962963]","[1, 1]","[0, 0]","[0, 0]","[11.893347500000345, 31.742701200000283]",0.012194339999950898,32.27143423999996,['A2'],['B1'],['C1'],['salmon'],['yellow'],['blue'],1337.8204205000002,None,9.0,8.530541399999947,1337.8204205000002,None,1370.719737,None,2.0,6.031452799999897,1346.4036706000002,None,7.0,20.313586300000225,1366.7697122999998,None,2.0,3.9499783000001116,<function functionImportanceB at 0x000002621DE92730>,<function functionImportanceC at 0x000002621DE929D8>,<function functionImportanceA at 0x000002621DE927B8>,,,0.0,5.080972499999916,1.0,6.031452799999897,5.0,5.231129199999941,<function functiondiffA at 0x000002621BE092F0>,<function functiondiffC at 0x000002621DE921E0>,<function functiondiffB at 0x000002621BE09598>,,,,,1305.0762034999998,1381.8362563,None,1376.7362279999998,None,1388.0192275,None,15,001,2022_Jul_19_0903,2leo,2021.2.3,59.965411950381636,
3,38,Plan how you want to go for a run,Stimuli/38A1.jpg,Stimuli/38A2.jpg,Stimuli/38A3.jpg,Stimuli/38B1.jpg,Stimuli/38B2.jpg,Stimuli/38B3.jpg,Stimuli/38C1.jpg,Stimuli/38C2.jpg,Stimuli/38C3.jpg,,,,,0,11,11,38,,,,,,,,1392.7688561,None,1393.769159,None,1399.7689403999998,None,"[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]",,37.49942969999984,7.783599800000047,27.399976499999866,"[0.04722222222222222, -0.15925925925925927, 0.017592592592592594]","[0.32407407407407407, 0.30925925925925923, -0.3425925925925926]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[7.7734018000001015, 27.3895064000003, 37.48938159999989]",0.009447299999919778,37.49863120000009,['A3'],['B1'],['C2'],['yellow'],['salmon'],['blue'],1438.9842666999998,None,7.0,2.4305718999999044,1438.9842666999998,None,1441.4843666000002,None,8.0,5.397615500000029,1446.8841475999998,None,4.0,3.3483306000002813,1450.3508315999998,None,9.0,3.631902199999786,<function functionImportanceA at 0x000002621DE92A60>,<function functionImportanceB at 0x000002621DE92AE8>,<function functionImportanceC at 0x000002621DE92840>,,,3.0,14.04779520000011,9.0,5.397615500000029,1.0,6.4644487999999,<function functiondiffC at 0x000002621BE09BF8>,<function functiondiffB at 0x000002621BE09048>,<function functiondiffA at 0x000002621BE099D8>,,,,,1401.0105349,1453.9005782,None,1463.133726,None,1456.6506718,None,15,001,2022_Jul_19_0903,2leo,2021.2.3,59.965411950381636,
3,5,Plan a birthday party for your younger self when you turn eight,Stimuli/5A1.jpg,Stimuli/5A2.jpg,Stimuli/5A3.jpg,Stimuli/5B1.jpg,Stimuli/5B2.jpg,Stimuli/5B3.jpg,Stimuli/5C1.jpg,Stimuli/5C2.jpg,Stimuli/5C3.jpg,,,,,0,12,12,5,,,,,,,,1476.6998121000001,None,1477.6999815,None,1483.699931,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",,47.42705938000154,15.561517580001691,5.662170580001657,"[0.024074074074074074, -0.41944444444444445, -0.18333333333333332]","[-0.3574074074074074, -0.1175925925925926, 0.30648148148148147]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.6582266000000345, 15.557933699999921, 47.4237277000002]",0.002798880001591897,47.42629298000156,['A2'],['B2'],['C3'],['salmon'],['blue'],['yellow'],1537.5982485,None,6.0,4.613931599999887,1537.5982485,None,1550.4646533,None,2.0,20.83142379999981,1570.2804495999999,None,3.0,4.2152812000003905,1542.8994929,None,9.0,5.5969835000000785,<function functionImportanceC at 0x000002621BE09AE8>,<function functionImportanceA at 0x000002621DE92BF8>,<function functionImportanceB at 0x000002621B6040D0>,,,9.0,8.714779500000077,-0.0,20.83142379999981,3.0,3.181635500000084,<function functiondiffC at 0x000002621DE926A8>,<function functiondiffA at 0x000002621BE09F28>,<function functiondiffB at 0x000002621DE92950>,,,,,1489.7093097000002,1573.063975,None,1576.9307880000001,None,1585.263664,None,15,001,2022_Jul_19_0903,2leo,2021.2.3,59.965411950381636,
