Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffB_response,slider_diffB_rt,slider_diffA_response,slider_diffA_rt,slider_diffC_response,slider_diffC_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffA_started,question_diffA_stopped,question_diffB_started,question_diffB_stopped,question_diffC_started,question_diffC_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,52.973977299998296,None,1,[6.734380899999451],[6.734384299999874],52.973977299998296,None,107.57799529999829,None,108.57818869999937,None,114.57811479999873,None,"[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]",118.63875919999919,9.40447036002115,13.604686560021946,6.655419260021517,"[0.037037037037037035, -0.13333333333333333, 0.31296296296296294]","[0.35462962962962963, 0.34074074074074073, 0.27037037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.652191900000616, 9.401579800000036, 13.601597400000173]",0.002282360021126806,13.60384186002193,['A3'],['B1'],['C1'],['salmon'],['blue'],['yellow'],132.71051429999898,None,10.0,6.745314100000542,132.71051429999898,None,141.12703269999838,None,5.0,15.897419900000386,155.4601092999983,None,8.0,3.8482772999996087,160.62636609999936,None,7.0,8.831526500000109,<function functionImportanceBt at 0x00000298C06D1D90>,<function functionImportanceCt at 0x00000298B10B1E18>,<function functionImportanceAt at 0x00000298C06D1B70>,176.15960659999837,None,2.0,4.164210400000229,9.0,8.831526500000109,2.0,5.597430199999508,<function functiondiffBt at 0x00000298C1415378>,<function functiondiffAt at 0x00000298C1415C80>,<function functiondiffCt at 0x00000298C1415950>,,,,,,,,,,,,011,001,2022_Jun_15_1246,2leo,2021.2.3,59.968576465983894,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,181.27610920000006,None,182.27599659999942,None,188.27601219999997,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",194.43894799999907,18.021178880033403,14.921166580033969,8.921837880034218,"[0.09166666666666666, 0.31851851851851853, -0.2]","[-0.33240740740740743, -0.24537037037037038, -0.3]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.91873189999933, 14.9183510999992, 18.018629500000316]",0.0021383800340117887,18.02052228003413,['A1'],['B1'],['C1'],['blue'],['yellow'],['salmon'],212.92496649999885,None,9.0,3.1308945000000676,212.92496649999885,None,235.3579622999987,None,8.0,7.914879400001155,217.56182489999992,None,8.0,10.830914899999698,228.87480009999854,None,8.0,6.632170200000473,<function functionImportanceCt at 0x00000298C06D1E18>,<function functionImportanceAt at 0x00000298ADF531E0>,<function functionImportanceBt at 0x00000298C06D1268>,257.1908045,None,3.0,5.614490199999636,2.0,6.632170200000473,4.0,7.031049199998961,<function functiondiffAt at 0x00000298C14156A8>,<function functiondiffCt at 0x00000298C1415730>,<function functiondiffBt at 0x00000298C1415510>,,,,,,,,,,,,011,001,2022_Jun_15_1246,2leo,2021.2.3,59.968576465983894,
3,11,Plan a hike in nature on a free day,Stimuli/11A1.jpg,Stimuli/11A2.jpg,Stimuli/11A3.jpg,Stimuli/11B1.jpg,Stimuli/11B2.jpg,Stimuli/11B3.jpg,Stimuli/11C1.jpg,Stimuli/11C2.jpg,Stimuli/11C3.jpg,,,,,0,0,0,11,,,,,,,,334.36064689999876,None,335.33873329999915,None,341.3385163999992,None,"[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]",,11.851700359999086,14.669186560000526,20.435829059999378,"[0.028703703703703703, -0.23796296296296296, 0.3425925925925926]","[-0.31296296296296294, -0.2953703703703704, -0.24814814814814815]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[11.841994200000045, 14.659237300000314, 20.425649099999646]",0.009189459999106475,20.434531259999858,['A2'],['B2'],['C2'],['yellow'],['blue'],['salmon'],363.4542948999988,None,7.0,5.645879600000626,363.4542948999988,None,369.2210559999985,None,7.0,5.997695400001248,375.22081089999847,None,7.0,5.314898700000413,380.5540278999997,None,6.0,7.5484866999995575,<function functionImportanceB at 0x00000298C06D16A8>,<function functionImportanceC at 0x00000298C1479BF8>,<function functionImportanceA at 0x00000298C1415F28>,,,2.0,2.648299099999349,8.0,4.946922799999811,2.0,7.5484866999995575,<function functiondiffA at 0x00000298C1415AE8>,<function functiondiffB at 0x00000298C14151E0>,<function functiondiffC at 0x00000298C1415598>,261.9238931,None,261.9238931,None,342.545801799999,388.03727959999924,None,393.02043049999884,None,395.68707099999847,None,011,001,2022_Jun_15_1246,2leo,2021.2.3,59.968576465983894,
3,16,Plan a delicious cake for the birthday of a friend,Stimuli/16A1.jpg,Stimuli/16A2.jpg,Stimuli/16A3.jpg,Stimuli/16B1.jpg,Stimuli/16B2.jpg,Stimuli/16B3.jpg,Stimuli/16C1.jpg,Stimuli/16C2.jpg,Stimuli/16C3.jpg,,,,,0,1,1,16,,,,,,,,400.2365665999987,None,401.23672759999863,None,407.2365433999985,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]",,6.38911986000312,16.705637960003514,12.95622946000367,"[0.3148148148148148, 0.08611111111111111, -0.16296296296296298]","[0.24537037037037038, 0.33796296296296297, -0.262037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.377422400000796, 12.944079599999895, 16.693798700000116]",0.011155460004374618,16.704947460004405,['A2'],['B1'],['C2'],['yellow'],['blue'],['salmon'],425.86929019999843,None,6.0,3.346988799999963,425.86929019999843,None,434.3693199999998,None,6.0,5.581897300000492,439.81910439999956,None,8.0,3.9151058999996167,429.28598579999925,None,8.0,4.847913100000369,<function functionImportanceA at 0x00000298C0591EA0>,<function functionImportanceB at 0x00000298C1479268>,<function functionImportanceC at 0x00000298C1479488>,,,3.0,3.931165800000599,3.0,3.464047900000878,2.0,4.847913100000369,<function functiondiffA at 0x00000298C14799D8>,<function functiondiffB at 0x00000298C1479950>,<function functiondiffC at 0x00000298C1415488>,,,,,408.6914115999989,443.65236659999937,None,447.18554649999896,None,451.10212429999956,None,011,001,2022_Jun_15_1246,2leo,2021.2.3,59.968576465983894,
3,15,Plan your own Pasta for lunch,Stimuli/15A1.jpg,Stimuli/15A2.jpg,Stimuli/15A3.jpg,Stimuli/15B1.jpg,Stimuli/15B2.jpg,Stimuli/15B3.jpg,Stimuli/15C1.jpg,Stimuli/15C2.jpg,Stimuli/15C3.jpg,,,,,0,2,2,15,,,,,,,,458.1892842999987,None,459.1684723999988,None,465.1685351999986,None,"[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]",,21.711838880008145,17.144045580007514,8.99466578000829,"[-0.1685185185185185, 0.012962962962962963, 0.26851851851851855]","[0.3194444444444444, -0.3314814814814815, -0.2]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[8.979867799998829, 17.12973509999938, 21.69780079999873]",0.013636880008562002,21.709912980008085,['A1'],['B1'],['C3'],['yellow'],['blue'],['salmon'],489.33401069999854,None,5.0,2.2787401000005048,489.33401069999854,None,494.8342496999994,None,8.0,3.681697099998928,499.26940659999855,None,9.0,5.715707499999553,491.73404089999894,None,8.0,3.1645286999992095,<function functionImportanceA at 0x00000298C1415620>,<function functionImportanceB at 0x00000298C1479598>,<function functionImportanceC at 0x00000298B5D00E18>,,,6.0,3.5978687000006175,4.0,3.6309676000000763,9.0,3.1645286999992095,<function functiondiffB at 0x00000298C1479D90>,<function functiondiffA at 0x00000298C1479C80>,<function functiondiffC at 0x00000298C14150D0>,,,,,467.1519669999998,507.88368759999867,None,504.25071109999953,None,511.6838294999998,None,011,001,2022_Jun_15_1246,2leo,2021.2.3,59.968576465983894,
3,23,Plan a city trip,Stimuli/23A1.jpg,Stimuli/23A2.jpg,Stimuli/23A3.jpg,Stimuli/23B1.jpg,Stimuli/23B2.jpg,Stimuli/23B3.jpg,Stimuli/23C1.jpg,Stimuli/23C2.jpg,Stimuli/23C3.jpg,,,,,0,3,3,23,,,,,,,,514.1834829,None,515.1836242999998,None,521.1835825999988,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,10.942980040001203,14.276159140001255,19.593267740001465,"[0.42407407407407405, -0.425, -0.3685185185185185]","[0.001851851851851852, 0.12407407407407407, -0.13333333333333333]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.929311300000336, 14.262342899999567, 19.579220300000088]",0.013062240001090686,19.591919040001812,['A3'],['B2'],['C2'],['blue'],['salmon'],['yellow'],542.4326790999985,None,8.0,2.646989000000758,542.4326790999985,None,545.1494067999993,None,10.0,2.9145548999986204,551.7493299999987,None,7.0,2.99832669999887,548.0660515,None,8.0,3.614845100000821,<function functionImportanceB at 0x00000298C1415A60>,<function functionImportanceA at 0x00000298C1479840>,<function functionImportanceC at 0x00000298C1415158>,,,-0.0,2.4977734000003693,3.0,2.7144879000006767,5.0,3.614845100000821,<function functiondiffA at 0x00000298C1479378>,<function functiondiffB at 0x00000298C1479A60>,<function functiondiffC at 0x00000298C1479620>,,,,,522.3693034999997,554.6992367999992,None,557.4325247999986,None,559.9492209,None,011,001,2022_Jun_15_1246,2leo,2021.2.3,59.968576465983894,
3,32,Plan how you want to relax after a workday,Stimuli/32A1.jpg,Stimuli/32A2.jpg,Stimuli/32A3.jpg,Stimuli/32B1.jpg,Stimuli/32B2.jpg,Stimuli/32B3.jpg,Stimuli/32C1.jpg,Stimuli/32C2.jpg,Stimuli/32C3.jpg,,,,,0,4,4,32,,,,,,,,563.7321194999986,None,564.7324619999999,None,570.7323974999999,None,"[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]","[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]",,18.61794876001295,13.218525660013256,4.85217416001251,"[-0.15462962962962962, 0.3425925925925926, 0.3138888888888889]","[0.28425925925925927, 0.2212962962962963, -0.2657407407407407]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.850511900000129, 13.21712800000023, 18.61688420000064]",0.0005634600129269529,18.61729616001321,['A2'],['B1'],['C3'],['yellow'],['salmon'],['blue'],592.8812197999996,None,6.0,2.680087500000809,592.8812197999996,None,596.4181701999987,None,5.0,3.9809373000007326,606.597897399999,None,8.0,3.4153684999982943,600.7344446999996,None,7.0,6.948520500000086,<function functionImportanceB at 0x000002988128B400>,<function functionImportanceA at 0x00000298C14158C8>,<function functionImportanceC at 0x000002988128B158>,,,8.0,4.064702699999543,7.0,4.447562099998322,5.0,6.948520500000086,<function functiondiffA at 0x00000298C14797B8>,<function functiondiffC at 0x000002988128B840>,<function functiondiffB at 0x00000298C1479B70>,,,,,573.7989365999983,610.3476447999983,None,616.8472836000001,None,614.4643594999998,None,011,001,2022_Jun_15_1246,2leo,2021.2.3,59.968576465983894,
3,28,Plan a one-week camping trip in Spain,Stimuli/28A1.jpg,Stimuli/28A2.jpg,Stimuli/28A3.jpg,Stimuli/28B1.jpg,Stimuli/28B2.jpg,Stimuli/28B3.jpg,Stimuli/28C1.jpg,Stimuli/28C2.jpg,Stimuli/28C3.jpg,,,,,0,5,5,28,,,,,,,,620.2473086999998,None,621.2473471999983,None,627.247541499999,None,"[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]",,11.211344220000683,17.327902720000566,6.528848320000179,"[-0.3453703703703704, 0.44537037037037036, 0.12037037037037036]","[0.12314814814814815, 0.023148148148148147, 0.387037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.513833999999406, 11.197051799999826, 17.313323899999887]",0.013889519999793265,17.327131420001024,['A1'],['B1'],['C3'],['yellow'],['salmon'],['blue'],646.2132459999993,None,5.0,1.9800479999994423,646.2132459999993,None,651.8801038999991,None,6.0,4.331663700000718,648.246817199999,None,5.0,3.5808966000004148,656.2465493,None,6.0,4.231588299999203,<function functionImportanceC at 0x000002988128BA60>,<function functionImportanceB at 0x000002988128BAE8>,<function functionImportanceA at 0x000002988128B0D0>,,,4.0,7.064203400001134,4.0,5.231516699999702,4.0,4.231588299999203,<function functiondiffC at 0x00000298C1479EA0>,<function functiondiffA at 0x00000298C1479F28>,<function functiondiffB at 0x00000298C1479E18>,,,,,628.4140941999995,664.7463715999984,None,669.996185,None,660.429591099999,None,011,001,2022_Jun_15_1246,2leo,2021.2.3,59.968576465983894,
3,12,Plan the ingredients to mix yourself a cocktail,Stimuli/12A1.jpg,Stimuli/12A2.jpg,Stimuli/12A3.jpg,Stimuli/12B1.jpg,Stimuli/12B2.jpg,Stimuli/12B3.jpg,Stimuli/12C1.jpg,Stimuli/12C2.jpg,Stimuli/12C3.jpg,,,,,0,6,6,12,,,,,,,,676.5790810999988,None,677.5790784000001,None,683.5790300999997,None,"[0.399, -0.003]","[-0.203, -0.347]","[-0.2, 0.346]","[0.07, 0.393]","[0.304, -0.26]","[-0.378, -0.136]","[0.306, 0.255]","[0.066, -0.395]","[-0.377, 0.138]",,9.630043120001574,11.296883720000551,28.379600920001394,"[0.4101851851851852, 0.3175925925925926, -0.2, 0.018518518518518517, 0.3296296296296296]","[-0.001851851851851852, -0.18611111111111112, 0.31666666666666665, 0.412962962962963, 0.2212962962962963]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[9.62298920000103, 11.28948500000115, 18.0226728000016, 23.305901300000187, 28.372040800000832]",0.0066221200013387715,28.378658820001874,['A1'],['B2'],['C1'],['salmon'],['blue'],['yellow'],713.6113810999996,None,8.0,2.5970970999987912,713.6113810999996,None,720.1613733999984,None,7.0,2.981598100001065,716.2783175999994,None,8.0,3.864656300000206,723.1778994999986,None,9.0,5.1815942000012,<function functionImportanceC at 0x000002988128B510>,<function functionImportanceB at 0x000002988128B048>,<function functionImportanceA at 0x000002988128B598>,,,3.0,3.2812878000004275,2.0,8.164561899999171,2.0,5.1815942000012,<function functiondiffB at 0x000002988128BB70>,<function functiondiffC at 0x000002988128BC80>,<function functiondiffA at 0x000002988128B268>,,,,,684.7527500999986,734.9111256999986,None,728.3279377999988,None,731.6277729999983,None,011,001,2022_Jun_15_1246,2leo,2021.2.3,59.968576465983894,
3,33,Plan the items to decorate your Christmas tree,Stimuli/33A1.jpg,Stimuli/33A2.jpg,Stimuli/33A3.jpg,Stimuli/33B1.jpg,Stimuli/33B2.jpg,Stimuli/33B3.jpg,Stimuli/33C1.jpg,Stimuli/33C2.jpg,Stimuli/33C3.jpg,,,,,0,7,7,33,,,,,,,,742.5938987999998,None,743.5940487999997,None,749.5940649999993,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,10.054485160006152,30.437274860005346,17.90652866000528,"[-0.1935185185185185, -0.33425925925925926, -0.43333333333333335]","[0.38425925925925924, -0.1287037037037037, 0.13518518518518519]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.043439499999295, 17.894934599999033, 30.42594409999947]",0.010547160005444312,30.43647926000449,['A2'],['B2'],['C2'],['yellow'],['salmon'],['blue'],782.2093801999999,None,5.0,2.080186799999865,782.2093801999999,None,784.3430993999991,None,2.0,3.6645662000009906,788.0596379999988,None,7.0,8.265052300001116,796.8428102999987,None,4.0,3.3152938000002905,<function functionImportanceB at 0x000002988128B1E0>,<function functionImportanceC at 0x000002988128B730>,<function functionImportanceA at 0x000002988128BEA0>,,,10.0,4.247312800000145,6.0,2.464445599998726,8.0,3.3152938000002905,<function functiondiffC at 0x000002988128B620>,<function functiondiffB at 0x000002988128B2F0>,<function functiondiffA at 0x000002988128BE18>,,,,,751.3116604999996,809.3256502999993,None,804.9257576,None,799.6258091999989,None,011,001,2022_Jun_15_1246,2leo,2021.2.3,59.968576465983894,
3,43,Plan your dream house,Stimuli/43A1.jpg,Stimuli/43A2.jpg,Stimuli/43A3.jpg,Stimuli/43B1.jpg,Stimuli/43B2.jpg,Stimuli/43B3.jpg,Stimuli/43C1.jpg,Stimuli/43C2.jpg,Stimuli/43C3.jpg,,,,,0,8,8,43,,,,,,,,811.1754352999997,None,812.1755571999984,None,818.175562299999,None,"[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]","[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]",,10.247019239999645,4.69754513999942,24.16416474000107,"[0.09537037037037037, 0.4203703703703704, 0.27870370370370373]","[0.4222222222222222, 0.012962962962962963, 0.26944444444444443]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.681493600000977, 10.231200800000806, 24.147790500001065]",0.01519034000011743,24.16273134000039,['A3'],['B3'],['C3'],['blue'],['yellow'],['salmon'],843.9911230999987,None,5.0,1.863795500001288,843.9911230999987,None,845.9080264999993,None,9.0,3.564497499999561,853.7243064999984,None,8.0,2.8650637999999162,849.5413262999991,None,7.0,4.214977100000397,<function functionImportanceB at 0x00000298C14159D8>,<function functionImportanceA at 0x00000298BE2779D8>,<function functionImportanceC at 0x000002988128B8C8>,,,0.0,2.5313014000003022,5.0,2.2480126000009477,10.0,4.214977100000397,<function functiondiffC at 0x00000298C1479AE8>,<function functiondiffA at 0x000002988128B6A8>,<function functiondiffB at 0x000002988128BF28>,,,,,819.3581776999999,859.1243893999999,None,861.3908610999988,None,856.5911264999995,None,011,001,2022_Jun_15_1246,2leo,2021.2.3,59.968576465983894,
3,41,Plan how you want to have dinner tonight ,Stimuli/41A1.jpg,Stimuli/41A2.jpg,Stimuli/41A3.jpg,Stimuli/41B1.jpg,Stimuli/41B2.jpg,Stimuli/41B3.jpg,Stimuli/41C1.jpg,Stimuli/41C2.jpg,Stimuli/41C3.jpg,,,,,0,9,9,41,,,,,,,,863.4406884999989,None,864.4408906999997,None,870.4408174,None,"[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]",,3.9594492400010495,14.22603664000053,10.543392640000093,"[0.09074074074074075, -0.16203703703703703, 0.32037037037037036]","[-0.4009259259259259, 0.29259259259259257, -0.2537037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.9542739000007714, 10.537548700000116, 14.220558299999539]",0.004772340000272379,14.22531674000129,['A1'],['B1'],['C3'],['salmon'],['yellow'],['blue'],886.5066797,None,8.0,1.9970200000007026,886.5066797,None,892.823463499999,None,9.0,4.198414299999058,897.2065900999987,None,7.0,2.448803499999485,888.6065813999994,None,9.0,4.2310826999982964,<function functionImportanceA at 0x00000298C1415EA0>,<function functionImportanceB at 0x00000298C1479D08>,<function functionImportanceC at 0x00000298C14796A8>,,,1.0,3.9468661999999313,0.0,2.3489474000016344,3.0,4.2310826999982964,<function functiondiffB at 0x000002988128B378>,<function functiondiffC at 0x0000029880544730>,<function functiondiffA at 0x000002988128B950>,,,,,871.8018635999997,906.0231390999998,None,899.4564627,None,903.4729357999986,None,011,001,2022_Jun_15_1246,2leo,2021.2.3,59.968576465983894,
3,22,Plan a beach day with your friends,Stimuli/22A1.jpg,Stimuli/22A2.jpg,Stimuli/22A3.jpg,Stimuli/22B1.jpg,Stimuli/22B2.jpg,Stimuli/22B3.jpg,Stimuli/22C1.jpg,Stimuli/22C2.jpg,Stimuli/22C3.jpg,,,,,0,10,10,22,,,,,,,,907.8894870999993,None,908.8895809999995,None,914.8896660999999,None,"[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",,14.903409520000423,4.8872011200001,11.27060752000034,"[0.058333333333333334, -0.34629629629629627, 0.3861111111111111]","[0.39351851851851855, 0.12777777777777777, 0.012037037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.87630370000079, 11.259720100000777, 14.892891200001031]",0.009883120001177303,14.902432920000138,['A3'],['B3'],['C1'],['yellow'],['blue'],['salmon'],931.4388131999985,None,7.0,2.079664499999126,931.4388131999985,None,943.0719341999993,None,9.0,2.6147251999991568,933.6067150999988,None,3.0,3.5974450999983674,937.2054458999992,None,8.0,5.865342700000838,<function functionImportanceC at 0x0000029880544048>,<function functionImportanceA at 0x00000298C1479400>,<function functionImportanceB at 0x00000298805441E0>,,,4.0,2.714523000000554,3.0,4.014028199999302,2.0,5.865342700000838,<function functiondiffA at 0x000002988128BBF8>,<function functiondiffB at 0x000002988128B9D8>,<function functiondiffC at 0x0000029880544B70>,,,,,916.0606703999983,945.6720083,None,949.7218700999983,None,952.4548832,None,011,001,2022_Jun_15_1246,2leo,2021.2.3,59.968576465983894,
3,7,Plan your Sunday breakfast ,Stimuli/7A1.jpg,Stimuli/7A2.jpg,Stimuli/7A3.jpg,Stimuli/7B1.jpg,Stimuli/7B2.jpg,Stimuli/7B3.jpg,Stimuli/7C1.jpg,Stimuli/7C2.jpg,Stimuli/7C3.jpg,,,,,0,11,11,7,,,,,,,,954.9548939999986,None,955.955093999999,None,961.9549161999985,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]",,8.891380940032832,7.943502940031976,4.741903340031058,"[0.38796296296296295, -0.30925925925925923, 0.34814814814814815]","[0.009259259259259259, -0.08055555555555556, 0.2324074074074074]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.728712400001314, 7.930754500001058, 8.878701800000272]",0.012056440031301463,8.890699040031905,['A3'],['B1'],['C3'],['salmon'],['blue'],['yellow'],977.3376720999986,None,9.0,1.8300050999987434,977.3376720999986,None,985.7709469999991,None,9.0,4.431652600000234,980.4543439999998,None,8.0,4.647743300000002,990.1541737999996,None,9.0,4.698280799999338,<function functionImportanceC at 0x0000029880544D90>,<function functionImportanceB at 0x0000029880544268>,<function functionImportanceA at 0x0000029880544D08>,,,0.0,4.647792600000685,-0.0,3.0975788999985525,1.0,4.698280799999338,<function functiondiffA at 0x0000029880544488>,<function functiondiffC at 0x0000029880544C80>,<function functiondiffB at 0x0000029880544158>,,,,,967.9932712999998,993.5706630999994,None,999.7371601999985,None,996.5205995999986,None,011,001,2022_Jun_15_1246,2leo,2021.2.3,59.968576465983894,
3,26,Plan how to wash one round of your laundry ,Stimuli/26A1.jpg,Stimuli/26A2.jpg,Stimuli/26A3.jpg,Stimuli/26B1.jpg,Stimuli/26B2.jpg,Stimuli/26B3.jpg,Stimuli/26C1.jpg,Stimuli/26C2.jpg,Stimuli/26C3.jpg,,,,,0,12,12,26,,,,,,,,1003.2368914999988,None,1004.2370077999985,None,1010.2369757999986,None,"[0.066, -0.395]","[-0.377, 0.138]","[0.306, 0.255]","[-0.203, -0.347]","[-0.2, 0.346]","[0.399, -0.003]","[0.304, -0.26]","[-0.378, -0.136]","[0.07, 0.393]",,17.42327772000135,10.15700102000119,12.940705420001905,"[-0.16944444444444445, 0.03425925925925926, -0.4046296296296296]","[0.3194444444444444, 0.41388888888888886, 0.12129629629629629]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.152823300000819, 12.936229599999933, 17.419362299999193]",0.003414920001887367,17.422572520001268,['A2'],['B2'],['C3'],['yellow'],['blue'],['salmon'],1029.319608599999,None,7.0,2.1811266000004252,1029.319608599999,None,1039.5359624999983,None,8.0,6.731512399999701,1035.5028757,None,5.0,3.981795300000158,1031.603009999999,None,1.0,3.881015599999955,<function functionImportanceA at 0x0000029880544510>,<function functionImportanceC at 0x00000298805446A8>,<function functionImportanceB at 0x0000029880544598>,,,7.0,2.28139740000006,0.0,3.246912799999336,2.0,3.881015599999955,<function functiondiffC at 0x0000029880544A60>,<function functiondiffA at 0x000002988128BD90>,<function functiondiffB at 0x000002988128B7B8>,,,,,1011.4164648999995,1050.1689635999992,None,1053.435652799999,None,1046.1859368999994,None,011,001,2022_Jun_15_1246,2leo,2021.2.3,59.968576465983894,
